Contact,Email Address,Invoice No,Invoice Date,Due Date,Invoice Amount,Amount Due,Invoice Status,Reference
Hartley & Sons Roofing,accounts@hartleyroofing.co.uk,INV-0841,02/01/2026,01/02/2026,4800.00,4800.00,AUTHORISED,PO-2241
Hartley & Sons Roofing,accounts@hartleyroofing.co.uk,INV-0892,14/02/2026,15/03/2026,3200.00,3200.00,AUTHORISED,PO-2268
Meridian Facilities Management,finance@meridianfm.co.uk,INV-0855,15/01/2026,14/02/2026,12450.00,12450.00,AUTHORISED,
Meridian Facilities Management,finance@meridianfm.co.uk,INV-0901,28/02/2026,29/03/2026,8700.00,4350.00,AUTHORISED,PO-1120
Clifton Legal Partners,billing@cliftonlegal.co.uk,INV-0820,05/12/2025,04/01/2026,22000.00,22000.00,AUTHORISED,
Clifton Legal Partners,billing@cliftonlegal.co.uk,INV-0876,30/01/2026,01/03/2026,18500.00,18500.00,AUTHORISED,
Sunridge Property Group,ap@sunridgeproperty.co.uk,INV-0863,22/01/2026,21/02/2026,6600.00,6600.00,AUTHORISED,PO-5509
Vantage Recruitment Ltd,finance@vantagerecruitment.co.uk,INV-0849,08/01/2026,07/02/2026,9250.00,9250.00,AUTHORISED,
Vantage Recruitment Ltd,finance@vantagerecruitment.co.uk,INV-0903,03/03/2026,02/04/2026,7800.00,7800.00,AUTHORISED,
Oakfield Digital Agency,accounts@oakfielddigital.co.uk,INV-0812,18/11/2025,18/12/2025,3150.00,3150.00,AUTHORISED,
Oakfield Digital Agency,accounts@oakfielddigital.co.uk,INV-0858,18/01/2026,17/02/2026,2900.00,1450.00,AUTHORISED,
Bluewater Marine Services,accounts@bluewatermarine.co.uk,INV-0870,26/01/2026,25/02/2026,15800.00,15800.00,AUTHORISED,
Sterling Consultancy Group,billing@sterlingconsultancy.co.uk,INV-0835,29/12/2025,28/01/2026,5500.00,5500.00,AUTHORISED,
Sterling Consultancy Group,billing@sterlingconsultancy.co.uk,INV-0884,10/02/2026,12/03/2026,4200.00,4200.00,AUTHORISED,
Pinnacle HR Solutions,finance@pinnaclehr.co.uk,INV-0848,07/01/2026,06/02/2026,3800.00,3800.00,AUTHORISED,
Crestwood Engineering Ltd,ap@crestwoodeng.co.uk,INV-0819,01/12/2025,31/12/2025,28000.00,28000.00,AUTHORISED,PO-9901
Crestwood Engineering Ltd,ap@crestwoodeng.co.uk,INV-0879,03/02/2026,05/03/2026,19500.00,9750.00,AUTHORISED,PO-9944
Thornton & Webb Architects,admin@thorntonwebb.co.uk,INV-0865,23/01/2026,22/02/2026,7200.00,7200.00,AUTHORISED,
Lyford Media Productions,accounts@lyfordmedia.co.uk,INV-0844,04/01/2026,03/02/2026,4100.00,4100.00,AUTHORISED,
Lyford Media Productions,accounts@lyfordmedia.co.uk,INV-0905,07/03/2026,06/04/2026,3600.00,3600.00,AUTHORISED,
