Customer,Invoice No.,Invoice Date,Due Date,Amount,Open Balance,Terms,Memo
Hartley Roofing Supplies,INV1041,07/01/2026,06/02/2026,5200.00,5200.00,Net 30,
Hartley Roofing Supplies,INV1088,18/02/2026,20/03/2026,3600.00,3600.00,Net 30,
Greenfield Logistics UK,INV1009,04/12/2025,03/01/2026,14200.00,14200.00,Net 30,Services Dec 2025
Greenfield Logistics UK,INV1052,14/01/2026,13/02/2026,11800.00,11800.00,Net 30,Services Jan 2026
Greenfield Logistics UK,INV1097,25/02/2026,26/03/2026,9400.00,4700.00,Net 30,Partial payment received
Broadstone & Partners,INV1021,18/12/2025,17/01/2026,32000.00,32000.00,Net 30,Q4 retainer
Broadstone & Partners,INV1063,28/01/2026,27/02/2026,28500.00,28500.00,Net 30,Jan retainer
Foxhill IT Solutions,INV1034,26/12/2025,25/01/2026,6800.00,6800.00,Net 30,
Foxhill IT Solutions,INV1076,06/02/2026,08/03/2026,5200.00,5200.00,Net 30,
Pennine Healthcare Group,INV1047,10/01/2026,09/02/2026,18900.00,18900.00,Net 30,Monthly support contract
Pennine Healthcare Group,INV1093,23/02/2026,24/03/2026,16500.00,8250.00,Net 30,Part paid
Redhill Events Ltd,INV1028,22/12/2025,21/01/2026,4400.00,4400.00,Net 30,
Redhill Events Ltd,INV1069,02/02/2026,03/03/2026,3800.00,3800.00,Net 30,
Clearwater Publishing,INV1015,10/12/2025,09/01/2026,7600.00,7600.00,Net 30,Annual licence
Clearwater Publishing,INV1060,26/01/2026,25/02/2026,6200.00,6200.00,Net 30,
Avon Construction Services,INV1037,29/12/2025,28/01/2026,42000.00,42000.00,Net 30,Phase 2 milestone
Avon Construction Services,INV1081,10/02/2026,11/03/2026,35000.00,35000.00,Net 30,Phase 3 milestone
Whitmore Brand Agency,INV1055,16/01/2026,15/02/2026,8100.00,8100.00,Net 30,Brand refresh project
Lakeside Catering Group,INV1043,05/01/2026,04/02/2026,3200.00,3200.00,Net 30,
Lakeside Catering Group,INV1087,17/02/2026,18/03/2026,2900.00,2900.00,Net 30,
Templeton Surveying Ltd,INV1068,01/02/2026,02/03/2026,9800.00,9800.00,Net 30,Site survey reports
