Customer Name,Customer Email,Invoice Number,Invoice Date,Due Date,Invoice Total,Amount Outstanding,Notes
Blackwood Property Services,finance@blackwoodps.co.uk,2026/001,03/01/2026,02/02/2026,8200.00,8200.00,
Blackwood Property Services,finance@blackwoodps.co.uk,2026/019,18/02/2026,19/03/2026,6900.00,6900.00,
Seaton Marketing Group,accounts@seatonmktg.co.uk,2026/004,09/01/2026,08/02/2026,3400.00,3400.00,Logo & brand work
Seaton Marketing Group,accounts@seatonmktg.co.uk,2026/028,08/03/2026,07/04/2026,2800.00,2800.00,Social ads Mar
Dalton & Marsh Solicitors,billing@daltonmarsh.co.uk,2025/201,02/12/2025,01/01/2026,41000.00,41000.00,Dispute — client queries scope
Dalton & Marsh Solicitors,billing@daltonmarsh.co.uk,2026/008,17/01/2026,16/02/2026,36000.00,36000.00,
Riverside Coaching Ltd,hello@riversidecoaching.co.uk,2026/011,24/01/2026,23/02/2026,2200.00,2200.00,Leadership programme
Riverside Coaching Ltd,hello@riversidecoaching.co.uk,2026/023,01/03/2026,31/03/2026,2200.00,2200.00,Leadership programme
Thornfield Foods Ltd,ap@thornfieldfoods.co.uk,2025/198,28/11/2025,28/12/2025,19800.00,19800.00,Delivery contract Nov
Thornfield Foods Ltd,ap@thornfieldfoods.co.uk,2026/006,13/01/2026,12/02/2026,17400.00,8700.00,Part paid
Thornfield Foods Ltd,ap@thornfieldfoods.co.uk,2026/024,02/03/2026,01/04/2026,15200.00,15200.00,
Copperfield Gym & Fitness,accounts@copperfieldgym.co.uk,2026/013,29/01/2026,28/02/2026,1800.00,1800.00,Website maintenance
Copperfield Gym & Fitness,accounts@copperfieldgym.co.uk,2026/027,06/03/2026,05/04/2026,1800.00,1800.00,Website maintenance
Harker Civil Ltd,finance@harkercivil.co.uk,2025/205,06/12/2025,05/01/2026,68000.00,68000.00,Contract milestone 3
Harker Civil Ltd,finance@harkercivil.co.uk,2026/010,22/01/2026,21/02/2026,55000.00,55000.00,Contract milestone 4
Harker Civil Ltd,finance@harkercivil.co.uk,2026/030,09/03/2026,08/04/2026,48000.00,48000.00,Contract milestone 5
Belmont HR Consulting,info@belmonthr.co.uk,2026/016,07/02/2026,08/03/2026,5600.00,5600.00,
Sunrise Dental Practice,admin@sunrisedental.co.uk,2026/021,25/02/2026,26/03/2026,2600.00,2600.00,Software licence
Penrose Studios,hello@penrosestudios.co.uk,2026/014,02/02/2026,03/03/2026,4200.00,4200.00,Video production
Penrose Studios,hello@penrosestudios.co.uk,2026/031,11/03/2026,10/04/2026,3900.00,3900.00,Video production
