Client Business,Customer Name,Customer Email,Invoice Ref,Invoice Date,Due Date,Invoice Total,Amount Outstanding,Status,Notes
Apex Accountants — Hargreaves Joinery,Woodfield Supplies Ltd,accounts@woodfieldsupplies.co.uk,HJ/2026/041,05/01/2026,04/02/2026,6800.00,6800.00,Overdue,
Apex Accountants — Hargreaves Joinery,Woodfield Supplies Ltd,accounts@woodfieldsupplies.co.uk,HJ/2026/059,20/02/2026,22/03/2026,5400.00,5400.00,Outstanding,
Apex Accountants — Hargreaves Joinery,Northgate Builders,info@northgatebuilders.co.uk,HJ/2026/038,02/01/2026,01/02/2026,14200.00,14200.00,Overdue,2nd chase sent 15 Jan
Apex Accountants — Hargreaves Joinery,Northgate Builders,info@northgatebuilders.co.uk,HJ/2026/068,10/03/2026,09/04/2026,11800.00,11800.00,Outstanding,
Apex Accountants — Greystone Interiors,Beaumont Hotels Group,finance@beaumonthotels.co.uk,GI-2026-012,14/01/2026,13/02/2026,28500.00,28500.00,Overdue,
Apex Accountants — Greystone Interiors,Beaumont Hotels Group,finance@beaumonthotels.co.uk,GI-2026-031,28/02/2026,29/03/2026,22000.00,22000.00,Outstanding,
Apex Accountants — Greystone Interiors,Cavendish Residential,ap@cavendishres.co.uk,GI-2026-008,06/01/2026,05/02/2026,17600.00,8800.00,Part Paid,£8800 received 12 Feb
Apex Accountants — Greystone Interiors,Cavendish Residential,ap@cavendishres.co.uk,GI-2026-049,14/03/2026,13/04/2026,15200.00,15200.00,Outstanding,
Apex Accountants — Solent HR,Portside Manufacturing,payables@portsidemfg.co.uk,SHR-026-091,09/12/2025,08/01/2026,9200.00,9200.00,Overdue,3 chasers sent — no response
Apex Accountants — Solent HR,Portside Manufacturing,payables@portsidemfg.co.uk,SHR-026-107,22/01/2026,21/02/2026,8800.00,8800.00,Overdue,
Apex Accountants — Solent HR,Portside Manufacturing,payables@portsidemfg.co.uk,SHR-026-129,06/03/2026,05/04/2026,8600.00,8600.00,Outstanding,
Apex Accountants — Solent HR,Ridgeline Logistics,accounts@ridgelinelogistics.co.uk,SHR-026-098,17/12/2025,16/01/2026,12400.00,12400.00,Overdue,In dispute — invoice queried
Apex Accountants — Solent HR,Ridgeline Logistics,accounts@ridgelinelogistics.co.uk,SHR-026-115,03/02/2026,04/03/2026,11800.00,11800.00,Overdue,
