Contact,Invoice Reference,Dated On,Due On,Total Value,Amount Outstanding,Status,Description
Hawthorne Brand Consultancy,INV-2026-001,05/01/2026,04/02/2026,4500.00,4500.00,Sent,Brand strategy Q1
Hawthorne Brand Consultancy,INV-2026-018,18/02/2026,19/03/2026,3800.00,3800.00,Sent,Social content Feb
Ridgeway Financial Advisers,INV-2026-003,08/01/2026,07/02/2026,9800.00,9800.00,Sent,Advisory retainer Jan
Ridgeway Financial Advisers,INV-2026-025,05/03/2026,04/04/2026,9800.00,9800.00,Sent,Advisory retainer Mar
Elmfield Care Homes Group,INV-2025-097,10/12/2025,09/01/2026,27000.00,27000.00,Sent,IT support Q4
Elmfield Care Homes Group,INV-2026-009,22/01/2026,21/02/2026,24000.00,24000.00,Sent,IT support Jan
Elmfield Care Homes Group,INV-2026-031,07/03/2026,06/04/2026,24000.00,12000.00,Sent,Partial — awaiting board sign-off
Norwood Civil Engineering,INV-2025-091,25/11/2025,25/12/2025,54000.00,54000.00,Sent,Phase 1 completion
Norwood Civil Engineering,INV-2026-005,10/01/2026,09/02/2026,48000.00,48000.00,Sent,Phase 2 drawdown
Chalcedony PR & Comms,INV-2026-007,14/01/2026,13/02/2026,5200.00,5200.00,Sent,Retainer Jan
Chalcedony PR & Comms,INV-2026-022,25/02/2026,26/03/2026,5200.00,5200.00,Sent,Retainer Feb
Marlowe Software Solutions,INV-2026-011,28/01/2026,27/02/2026,16800.00,16800.00,Sent,Dev sprint Jan
Marlowe Software Solutions,INV-2026-029,06/03/2026,05/04/2026,14200.00,14200.00,Sent,Dev sprint Feb
Kestrel Print & Design,INV-2025-088,14/11/2025,14/12/2025,3600.00,3600.00,Sent,Catalogue design
Kestrel Print & Design,INV-2026-014,04/02/2026,05/03/2026,2900.00,2900.00,Sent,Spring brochure
Ashton Event Logistics,INV-2026-016,10/02/2026,11/03/2026,7400.00,7400.00,Sent,Event production Feb
Ashton Event Logistics,INV-2026-032,10/03/2026,09/04/2026,6800.00,6800.00,Sent,Event production Mar
Granville Safety Compliance,INV-2026-008,16/01/2026,15/02/2026,4100.00,4100.00,Sent,Annual audit
Pendleton Architecture Studio,INV-2026-020,21/02/2026,22/03/2026,11500.00,11500.00,Sent,Planning drawings
