Account Name,Account Number,Invoice Date,Invoice Ref,Total,Outstanding,Due Date,Status,Notes
Kingsway Building Contractors,KBC001,03/01/2026,SI/2026/0041,6400.00,6400.00,02/02/2026,Outstanding,
Kingsway Building Contractors,KBC001,16/02/2026,SI/2026/0089,4800.00,4800.00,18/03/2026,Outstanding,
Halford Waste Management,HWM002,08/12/2025,SI/2025/0312,21500.00,21500.00,07/01/2026,Overdue,
Halford Waste Management,HWM002,19/01/2026,SI/2026/0052,17800.00,17800.00,18/02/2026,Overdue,
Halford Waste Management,HWM002,27/02/2026,SI/2026/0101,14600.00,7300.00,28/03/2026,Part-paid,Awaiting balance
Bramley & Fox Solicitors,BFX003,11/12/2025,SI/2025/0319,38000.00,38000.00,10/01/2026,Overdue,Client in dispute
Newbridge Design Studio,NDS004,20/01/2026,SI/2026/0058,4200.00,4200.00,19/02/2026,Overdue,
Newbridge Design Studio,NDS004,04/03/2026,SI/2026/0110,3700.00,3700.00,03/04/2026,Outstanding,
Saxon Security Systems,SSS005,13/01/2026,SI/2026/0046,8900.00,8900.00,12/02/2026,Overdue,
Saxon Security Systems,SSS005,24/02/2026,SI/2026/0095,7200.00,7200.00,25/03/2026,Outstanding,
Chadwick Timber Merchants,CTM006,06/12/2025,SI/2025/0307,11200.00,11200.00,05/01/2026,Overdue,Chased twice no response
Chadwick Timber Merchants,CTM006,17/01/2026,SI/2026/0049,9400.00,9400.00,16/02/2026,Overdue,
Portsmith Cleaning Services,PCS007,30/01/2026,SI/2026/0065,3100.00,3100.00,01/03/2026,Overdue,
Portsmith Cleaning Services,PCS007,13/03/2026,SI/2026/0118,2800.00,2800.00,12/04/2026,Outstanding,
Westfield Training Academy,WTA008,09/01/2026,SI/2026/0043,5600.00,5600.00,08/02/2026,Overdue,
Westfield Training Academy,WTA008,21/02/2026,SI/2026/0092,4900.00,2450.00,22/03/2026,Part-paid,
Barrowfield Printing Ltd,BPL009,14/12/2025,SI/2025/0323,16300.00,16300.00,13/01/2026,Overdue,
Barrowfield Printing Ltd,BPL009,25/01/2026,SI/2026/0062,13700.00,13700.00,24/02/2026,Overdue,
Lakeland Surveying Group,LSG010,31/01/2026,SI/2026/0071,7800.00,7800.00,01/03/2026,Overdue,
Moorfield Accountants LLP,MAP011,22/01/2026,SI/2026/0059,12400.00,12400.00,21/02/2026,Overdue,
